table,column,primary_key,current,proposed,confidence,kind,row_count
flowsheet,artist_name,id=1543020,Î¼-Ziq,μ-Ziq,95,round_trip,12
flowsheet,track_title,id=1195793,Î©Î©Î©,ΩΩΩ,95,round_trip,4
flowsheet,track_title,id=1821664,HelvacÄ±,Helvacı,85,round_trip,3
flowsheet,album_title,id=1925879,Ø¯,د,95,round_trip,2
flowsheet,album_title,id=1215539,ç¹­,繭,95,round_trip,2
flowsheet,track_title,id=1608700,ï½¡.ï½¥BLUSHï½¥.ï½¡,｡.･BLUSH･.｡,50,round_trip,2
flowsheet,album_title,id=1630516,Atmospheres ç¬¬3,Atmospheres 第3,95,round_trip,1
flowsheet,album_title,id=2502922,Ege BamyasÄ±,Ege Bamyası,85,round_trip,1
flowsheet,album_title,id=2505935,En Kotu Ä°yi Olur,En Kotu İyi Olur,85,round_trip,1
flowsheet,album_title,id=1915813,Å koda Mluvit,Škoda Mluvit,85,round_trip,1
flowsheet,album_title,id=1140316,Î¨ 847,Ψ 847,95,round_trip,1
flowsheet,artist_name,id=2353839,GrOunå£« + Kabamix,GrOun士 + Kabamix,95,round_trip,1
flowsheet,artist_name,id=1985385,LuboÅ¡ FiÅ¡er,Luboš Fišer,85,round_trip,1
flowsheet,artist_name,id=1309181,Mustafah 'Abd Al'-AzÄ«z,Mustafah 'Abd Al'-Azīz,85,round_trip,1
flowsheet,artist_name,id=2498431,"Î£tella, Las Palabras","Σtella, Las Palabras",95,round_trip,1
flowsheet,artist_name,id=1414111,Î¼-ziq,μ-ziq,95,round_trip,1
flowsheet,record_label,id=1135680,Galerija Å KUC Izdaja / Dark Entries,Galerija ŠKUC Izdaja / Dark Entries,85,round_trip,1
flowsheet,record_label,id=2519864,ViÅ¡e manje zauvijek,Više manje zauvijek,85,round_trip,1
flowsheet,record_label,id=1809697,Î©,Ω,95,round_trip,1
flowsheet,track_title,id=1609675,400ç±³,400米,95,round_trip,1
flowsheet,track_title,id=2518047,78 Yilinin En Uzun DakikasÄ±,78 Yilinin En Uzun Dakikası,85,round_trip,1
flowsheet,track_title,id=2443704,DaÅ¡a,Daša,85,round_trip,1
flowsheet,track_title,id=1777140,DesgracaÌ§da,Desgraca̧da,50,round_trip,1
flowsheet,track_title,id=2516010,GadÅ¼et elektroniczny,Gadżet elektroniczny,85,round_trip,1
