table,column,primary_key,current,row_count,proposed_top1,proposed_top2,proposed_top3,confidence,evidence_source
flowsheet,RELEASE_TITLE,,A Sua Divers�o / N�o Tem Nada N�o,9,A Sua Diversão / Não Tem Nada Não,A Sua Diversão / Não Tem Nada Não,A Sua Diversão/ Não Tem Nada Não,1.00,discogs-search
flowsheet,RELEASE_TITLE,,"Music from the Caucasus � The Archive of ORED Recordings, 2013�2023",4,Music From The Caucasus - The Archive Of ORED Recordings 2013-23,,,0.84,discogs-search
flowsheet,RELEASE_TITLE,,Rem�nytelen,2,Rem​é​nytelen,,,0.85,discogs-search
flowsheet,RELEASE_TITLE,,Ach Golgatha / Pour Que Les Fruits Mûrissent Cet �té,1,Ach Golgatha / Pour Que Les Fruits Mûrissent Cet Été,,,1.00,discogs-search
flowsheet,RELEASE_TITLE,,Ahora M�s Que Nunca,1,Ahora Mas que Nunca,,,0.89,lml-fuzzy
flowsheet,RELEASE_TITLE,,Eydie Gorm�,1,Eydie Gorme,Eydie Swings the blues,"Softly, As I leave you",0.91,lml-fuzzy
flowsheet,RELEASE_TITLE,,L'�?il écoute / Dedans-Dehors,1,L'Œil Écoute / Dedans-Dehors,,,0.00,unmatched
flowsheet,RELEASE_TITLE,,League of Legends � League Of Legends Worlds Anthems - Vol. 1: 2014-2023,1,League Of Legends Worlds Anthems - Vol. 1: 2014-2023,League Of Legends Worlds Anthems - Vol. 1: 2014-2023,League Of Legends Worlds Anthems - Vol. 1: 2014-2023,0.54,discogs-search
flowsheet,RELEASE_TITLE,,Midnight Zone (Original Soundtrack to the Film by Julian Charri�re),1,Midnight Zone EP,Be Your Lover / Midnight Magic,Danger Zone,0.05,unmatched
flowsheet,ARTIST_NAME,,Csillagrabl�k,2,Csillagrablók,,,1.00,discogs-search
flowsheet,ARTIST_NAME,,Sonido Due�ez,2,Sonido Dueñez,Sonido Solar,Luis Ortiz (4),0.90,discogs-search
flowsheet,ARTIST_NAME,,Ana Mar�a Vahos,1,Ana Maria Velez,Ana Maria Simo,Ana Maria Vizcaino,0.63,lml-fuzzy
flowsheet,ARTIST_NAME,,Eydie Gorm�,1,Eydie Gorme,,,0.91,lml-fuzzy
flowsheet,ARTIST_NAME,,Mehmet G�reli,1,Mehmet Irdel,Mehmet Akatay,,0.69,lml-fuzzy
flowsheet,ARTIST_NAME,,U?ur Y�cel,1,Urba y Rome,Madame uR y sus HombreS,Enrique Urquijo Y Los Problemas,0.17,unmatched
flowsheet,ARTIST_NAME,,p�r-no,1,R/no,DJ R-No,DJ R-No,0.27,unmatched
flowsheet,RECORD_LABEL,,Infin� Editions,8,Infiné Éditions,Infinite Greyscale,Éditions Infini,0.93,discogs-search
flowsheet,RECORD_LABEL,,U?ur Y�cel,1,Urban Decay (2),Uri Geller Records,Blanco Y Negro Urban,0.13,unmatched
flowsheet,SONG_TITLE,,A Sua Divers�o,6,A Sua Diversão / Não Tem Nada Não,A Sua Diversão / Não Tem Nada Não,A Sua Diversão/ Não Tem Nada Não,0.18,unmatched
flowsheet,SONG_TITLE,,Iris (N�dia Remix),3,Iris 1,Iris,Iris,0.06,unmatched
flowsheet,SONG_TITLE,,Mallku Diabl�n,3,Mallku Diablón,,,0.26,unmatched
flowsheet,SONG_TITLE,,N�o Tem Nada N�o,3,O Tempora! O Mores!,Ocupado Como Gado Com Nada Para Fazer,Visages Du Brésil,0.24,unmatched
flowsheet,SONG_TITLE,,Arh�,2,,,,0.00,unmatched
flowsheet,SONG_TITLE,,J'ai Oubli�,2,J'ai Tout Oublié,J'ai Oublié De Vivre,J'Ai Tout Oublié,0.41,unmatched
flowsheet,SONG_TITLE,,Uno Es �rbol,2,Uno Esta EP,Uno Esta,Uno Esta,0.50,unmatched
flowsheet,SONG_TITLE,,blade bird - Nick Le�n broward mix,2,In The Lab 2 The Real Mixtape Volume 2,Choke Enough : Expansion Pack,Choke Enough (Expansion Pack),0.17,unmatched
flowsheet,SONG_TITLE,,Bliws Afon T�f,1,Bliws Afon Tâf,,,0.00,unmatched
flowsheet,SONG_TITLE,,"COLORATURA, 24� 3' 27.0"" N, 123� 47' 7.5"" E",1,"Symphony No. 2 In E Minor, Op. 27",Golden-Age Coloratura,"Philharmonia Orchestra, Tullio Serafin, Orchestra Del Teatro Alla Scala Di Milano* - Lyric & Coloratura Arias",0.08,unmatched
flowsheet,SONG_TITLE,,Ch'uwancha�a ~El Golpe Final~,1,Ch'uwanchaña ~El Golpe Final~,,,0.07,unmatched
flowsheet,SONG_TITLE,,"Convocaci�n ""Banger/Diffusion""",1,"Convocación ""Banger/Diffusion""",,,0.00,unmatched
flowsheet,SONG_TITLE,,Dod�i,1,Dođi,,,0.48,unmatched
flowsheet,SONG_TITLE,,Do�a Justicia,1,La Justicia,Grupo La Justicia,Justicia,0.49,unmatched
flowsheet,SONG_TITLE,,Festa Dos P�ssaros,1,Samba Dos Bons,Negrão Dos Oito Baixos,Esta Festa Das Cidades,0.29,unmatched
flowsheet,SONG_TITLE,,Gabriel Gabriela Due�ez,1,Obra Completa,DG 120 - The Anniversary Edition,Progetto Martha Argerich Lugano 2004,0.12,unmatched
flowsheet,SONG_TITLE,,Homage to �mer Hayyam,1,Homage To Charles Parker,Crossing The Bridge - The Sound Of Istanbul,,0.39,unmatched
