legacy_release_id	label_count	rotation_rows	labels
768	2	2	[{"name":"ABB","company_ids":[1416],"rotation_rows":1},{"name":"CAPITOL","company_ids":[494],"rotation_rows":1}]
1608	2	2	[{"name":"BRONX SCIENCE","company_ids":[1624],"rotation_rows":1},{"name":"GIEGLING","company_ids":[5229],"rotation_rows":1}]
7392	2	2	[{"name":"ANTIGONOWHERE","company_ids":[1873],"rotation_rows":1},{"name":"TEMPEL","company_ids":[5450],"rotation_rows":1}]
8501	3	4	[{"name":"130701/FAT CAT","company_ids":[2639],"rotation_rows":2},{"name":"100% BREAKFAST","company_ids":[1100],"rotation_rows":1},{"name":"AUM FIDELITY","company_ids":[1046],"rotation_rows":1}]
9730	2	2	[{"name":"ROUNDER","company_ids":[283],"rotation_rows":1},{"name":"RYKODISC","company_ids":[285],"rotation_rows":1}]
9824	2	2	[{"name":"COPPER CREEK","company_ids":[712],"rotation_rows":1},{"name":"CROOKED","company_ids":[2026],"rotation_rows":1}]
13170	2	2	[{"name":"HEARTBEAT","company_ids":[399],"rotation_rows":1},{"name":"MOTION","company_ids":[1800],"rotation_rows":1}]
14116	2	3	[{"name":"PHILLY ARCHIVES","company_ids":[1912],"rotation_rows":2},{"name":"STAY FREE!","company_ids":[2777],"rotation_rows":1}]
16677	2	2	[{"name":"self-released","company_ids":[853],"rotation_rows":1},{"name":"THIS RECORD LABEL","company_ids":[1632],"rotation_rows":1}]
16736	2	2	[{"name":"WARP","company_ids":[733],"rotation_rows":1},{"name":"WARP/TOMMY BOY","company_ids":[1718],"rotation_rows":1}]
19307	2	2	[{"name":"WARM","company_ids":[1670],"rotation_rows":1},{"name":"WORDSOUND","company_ids":[666],"rotation_rows":1}]
21086	2	2	[{"name":"HEARTBEAT","company_ids":[399],"rotation_rows":1},{"name":"SOUL JAZZ","company_ids":[1936],"rotation_rows":1}]
