legacy_release_id	label_name	company_id	company_ids	rotation_rows
27	EMOTIF/XSTATIC	1633	1633	1
28	SHADOW	890	890	1
35	DEF JUX	1948	1948	1
48	SUBSTRACTIF	1998	1998	1
56	BOMB HIP-HOP	849	849	1
69	75 ARK	1674	1674	1
70	75 ARK	1674	1674	1
71	75 ARK	1674	1674	1
86	WARP	733	733	1
90	SIRE	782	782	1
92	LONDON/SIRE	2084	2084	1
93	WARP	733	733	1
96	BRONX SCIENCE	1624	1624	1
97	BRONX SCIENCE	1624	1624	1
109	MATADOR	332	332	1
171	HOUSEHUSBAND	1542	1542	1
173	MATADOR	332	332	1
177	DELUXE	752	752	1
224	75 ARK	1674	1674	1
254	GOOD LOOKING	2048	2048	1
284	QUANNUM PROJECTS	1610	1610	1
285	QUANNUM PROJECTS	1610	1610	1
304	MCA	333	333	1
355	NOTHING/INTERSCOPE	1032	1032	1
356	44 WAYS	1539	1539	1
358	BODEGA SYSTEM	2035	2035	1
369	ARISTA	121	121	1
370	ARISTA	121	121	1
374	NUMERO GROUP	2709	2709	1
385	STONE'S THROW	1153	1153	1
387	WARP	733	733	1
484	EAST WEST	432	432	1
485	K7	954	954	1
496	NINJA TUNE	700	700	1
500	MCA	333	333	2
541	SPONGEBATH	1675	1675	1
544	SIGMA EDITIONS	1799	1799	1
558	SHADOW	890	890	1
569	STONE'S THROW	1153	1153	1
570	PLAG DICH NICHT	1442	1442	1
587	QUEERCORPS	1350	1350	1
598	MATADOR	332	332	1
599	MATADOR	332	332	1
636	K7	954	954	1
637	GERN BLANDSTEN	619	619	1
640	CONCEPTION	1230	1230	1
664	HIERO IMPERIUM	1317	1317	1
671	Chrysalis	6743	6743	1
708	TOMMY BOY	267	267	1
713	SCHEMATIC/ASPHODEL	1731	1731	1
714	JIVE ELECTRO	2004	2004	1
738	DTX	1170	1170	1
741	MO WAX	696	696	1
771	CAPITOL	494	494	1
772	CAPITOL	494	494	1
799	INSTINCT	364	364	1
800	RED INK/SONY	1597	1597	1
801	RED INK/SONY	1597	1597	1
811	CAIPIRINHA	1057	1057	1
813	SULFUR/BEGGARS BANQUET	1717	1717	1
823	LIQUID SKY	783	783	1
824	QUATERMASS	1929	1929	1
830	SHADOW	890	890	1
831	SIX DEGREES	722	722	1
834	NINJA TUNE	700	700	1
835	NINJA TUNE	700	700	1
836	NINJA TUNE	700	700	1
840	DJ HONDA	1780	1780	1
842	SMILE	813	813	1
846	NINJA TUNE	700	700	1
848	NINJA TUNE	700	700	1
850	BOMB HIP-HOP	849	849	1
851	BOMB HIP-HOP	849	849	1
855	MERCURY	336	336	1
864	BOMB HIP-HOP	849	849	1
865	BOMB HIP-HOP	849	849	1
867	EMPEROR NORTON	1347	1347	1
871	BOMB HIP-HOP	849	849	1
873	OM	688	688	1
875	INTUIT-SOLAR	1801	1801	1
877	INTUIT-SOLAR	1801	1801	1
901	TOTAL IMPACT	1584	1584	1
910	LO	2014	2014	1
941	SIX DEGREES	722	722	1
985	DELUXE	752	752	1
991	EL TURCO LOCO/DIGITAL HARDCORE	1623	1623	1
993	AFTERMATH/INTERSCOPE	1417	1417	1
1000	75 ARK	1674	1674	1
1047	COMPOST	1345	1345	1
1060	TRITONE	1608	1608	1
1062	KINETIC	2006	2006	1
1063	NINJA TUNE	700	700	1
1068	ELEKTRA	444	444	1
1074	SWILL RADIO	1425	1425	1
1075	SOLEILMOON	251	251	1
1078	DEF JUX	1948	1948	1
1127	K7	954	954	1
1147	MUTE	348	348	1
1171	HYPERDUB	3233	3233	1
1205	ISOPHLUX	1831	1831	1
1206	ELECTRONIC 78	1915	1915	1
1224	ASTRALWERKS	124	124	1
1246	UBIQUITY	706	706	1
1247	HIGHER GROUND	1432	1432	1
1252	F-111	1776	1776	1
1282	TOMMY BOY	267	267	1
1285	MUTE	348	348	1
1286	HYDROGEN DUKEBOX	2007	2007	1
1302	DUCKDOWN/PRIORITY	1404	1404	1
1309	NINJA TUNE	700	700	1
1312	NTONE/NINJA TUNE	1860	1860	1
1313	K7	954	954	1
1329	PHASE 4/LONDON	1285	1285	1
1330	FFRR	781	781	1
1331	CELESTIAL	1477	1477	1
1334	RAWKUS	934	934	1
1335	ANTIPOP	1949	1949	1
1353	PALM PICTURES	1448	1448	1
1363	PLANET E	537	537	2
1364	RECKANKREUZUNGSKLANKEWERKZEUGE	1569	1569	1
1365	RECKANKREUZUNGSKLANKEWERKZEUGE	1569	1569	1
1427	PLANET E	537	537	1
1435	NINJA TUNE	700	700	1
1452	COMPOST	1345	1345	1
1455	WORLD DOMINATION	523	523	2
1461	INTUIT-SOLAR	1801	1801	1
1463	NUDE	1952	1952	1
1475	BOMB HIP-HOP	849	849	1
1476	MATADOR	332	332	1
1478	MATADOR	332	332	1
1480	FORCE INC.	1872	1872	1
1482	ALIEN8	1546	1546	1
1483	SUBSTRACTIF	1998	1998	1
1492	TOMMY BOY	267	267	1
1513	INTERSCOPE	365	365	1
1514	INTERSCOPE	365	365	2
1541	MATADOR	332	332	1
1542	MATADOR	332	332	1
1543	MATADOR	332	332	1
1546	OZONE MUSIC	1523	1523	1
1577	NINJA TUNE	700	700	1
1578	K7	954	954	1
1580	CARPARK	1692	1692	1
1581	IPECAC	1529	1529	1
1582	MILLE PLATEAUX	942	942	1
1604	RUFFHOUSE	533	533	1
1610	BRONX SCIENCE	1624	1624	1
1626	K7	954	954	1
1629	ALIEN8	1546	1546	1
1630	ALIEN8	1546	1546	1
1640	RAWKUS	934	934	1
1641	RAWKUS	934	934	1
1667	MATADOR	332	332	1
1673	OZONE MUSIC	1523	1523	1
1674	OZONE MUSIC	1523	1523	1
1700	REPHLEX	675	675	1
1717	Hot Releases	7041	7041	1
1718	MATADOR	332	332	1
1727	THE AGRICULTURE	1902	1902	1
1749	PLUG RESEARCH	1400	1400	1
1751	ELEKTRA	444	444	1
1752	BRONX SCIENCE	1624	1624	1
1753	HIERO IMPERIUM	1317	1317	1
1754	PDSE	1827	1827	1
1756	BRONX SCIENCE	1624	1624	1
1824	MERCK	1824	1824	1
1886	BOMB HIP-HOP	849	849	1
1902	FLYING BOMB	658	658	1
1904	MOONSHINE	765	765	1
1908	OM	688	688	1
1910	OM	688	688	1
1932	EMPEROR NORTON	1347	1347	1
1940	THRILL JOCKEY	266	266	1
1956	RAWKUS	934	934	1
1957	RAWKUS	934	934	1
1958	MATADOR	332	332	1
1959	MATADOR	332	332	1
1960	MATADOR	332	332	1
1967	NINJA TUNE	700	700	1
1968	MUTE	348	348	1
