resolved_label	cards
Columbia	336
Atlantic	163
RCA	157
Rounder	149
Elektra	127
Matador	121
Sub Pop	113
Capitol	111
Epic	108
A&M	95
Merge	86
THRILL JOCKEY	85
Warner Bros.	85
MCA Records	84
MCA	82
Arista	81
Chrysalis	78
A&M Records	77
Capitol Records	74
4AD	72
Sugar Hill	71
Polydor	68
MERGE	67
Blue Note	65
FEEDING TUBE	65
Drag City	62
self-released	62
Tzadik	62
Island	60
Mercury	60
Warner Bros	59
(self-released)	58
Flying Fish	58
Shanachie	58
SUB POP	58
Virgin	58
a&m	57
CUNEIFORM	57
KRANKY	57
ECM	56
Island Records	54
capitol	52
EMI	52
Sire	51
Reprise	50
Rough Trade	49
DRAG CITY	48
Soul Note	48
Columbia Records	47
Verve	47
SUBLIME FREQUENCIES	46
columbia	45
MATADOR	45
Green Linnet	44
EM	42
CBS	41
Rhino	41
Geffen Records	40
Kranky	40
NUMERO GROUP	40
Delmark	39
Thrill Jockey	39
Evidence	38
SUB ROSA	38
Arhoolie	37
island	37
Mute	37
L.I.E.S.	36
Rounder Records	35
SST	35
Tommy Boy	35
Prestige	34
Reprise Records	34
Flying Fish Records	33
mca	33
AUM FIDELITY	32
CONSTELLATION	32
Enigma	32
Green Linnet Records	32
ROOM40	32
rounder	32
Warp	32
epic	31
Jagjaguwar	31
matador	31
Merge Records	30
Nonesuch	30
reprise	30
Cuneiform Records	29
mercury	29
Ninja Tune	29
Mango	28
RUNE GRAMMOFON	28
Virgin Records	28
Alligator Records	27
atlantic	27
Dischord	27
Kill Rock Stars	27
merge	27
NORTHERN-SPY	27
PI	27
Secretly Canadian	27
TOMPKINS SQUARE	27
Vanguard	27
12XU	26
Black Saint	26
Fantasy	26
Hightone Records	26
HOT RELEASES	26
HYPERDUB	26
NINJA TUNE	26
rca	26
RELAPSE	26
TOTAL PUNK	26
Dark Entries	25
Geffen	25
Homestead Records	25
HONEST JON'S	25
Saddle Creek	25
Shanachie Records	25
TZADIK	25
cbs	24
Cuneiform	24
DOMINO	24
Numero Group	24
PLANET MU	24
SOUL JAZZ	24
Sugar Hill Records	24
TOUCH	24
Alternative Tentacles	23
AM Records	23
EDITIONS MEGO	23
London Records	23
PARADISE OF BACHELORS	23
SACRED BONES	23
STAUBGOLD	23
Touch and Go	23
WARP	23
ATAVISTIC	22
FAMILY VINEYARD	22
RCA Records	22
Restless	22
S-S	22
sire	22
Thirsty Ear	22
4ad	21
ANTI-	21
Motown	21
Shimmy Disc	21
MEDICAL	20
northside	20
PAN	20
RVNG INTL.	20
Self-Released	20
SORRY STATE	20
SOUNDWAY	20
virgin	20
Alligator	19
arista	19
BA DA BING!	19
BMG	19
geffen	19
Gramavision	19
polydor	19
YEP ROC	19
BIRDMAN	18
Domino	18
IRS	18
LOAD	18
Milestone	18
MISSISSIPPI	18
Planet Mu	18
Real World	18
SMITHSONIAN FOLKWAYS	18
Sony Music Entertainment	18
VHF	18
XL	18
Arista Records	17
Astralwerks	17
ATCO	17
Atlantic Records	17
Def Jam	17
DFA	17
DUST-TO-DIGITAL	17
ECM Records	17
Epitaph	17
IMPORTANT	17
LIGHT IN THE ATTIC	17
LUMPY RECORDS	17
Ras Records	17
Smithsonian Folkways	17
Sundazed	17
XL Recordings	17
Yep Roc	17
Asphodel	16
chrysalis	16
Darla	16
GLITTERBEAT	16
green linnet	16
INNOVA	16
JAGJAGUWAR	16
K	16
KILL ROCK STARS	16
Liberty	16
Self-released	16
Sire Records	16
SOFT ABUSE	16
sugar hill	16
WHARF CAT	16
Windham Hill Records	16
ANTICON	15
ASTHMATIC KITTY	15
ATO	15
CBS Records	15
CLEAN FEED	15
ENTR'ACTE	15
Epic Records	15
Heartbeat	15
Homestead	15
kranky	15
SECRETLY CANADIAN	15
self released	15
SELF-RELEASED	15
Slash	15
STONE'S THROW	15
verve	15
Warner Bros. Records	15
AAGOO	14
atco	14
Bloodshot Records	14
delmark	14
ECSTATIC PEACE!	14
elektra	14
Flying Nun	14
I.R.S.	14
Interscope	14
KOMPAKT	14
NO QUARTER	14
NONESUCH	14
PORTER	14
Red House Records	14
Sony	14
STRUT	14
wb	14
ABDUCTION	13
ANALOG AFRICA	13
Asylum	13
Atavistic	13
ecm	13
FELMAY	13
IN THE RED	13
JAZZMAN	13
LOCUST MUSIC	13
Music of the World	13
NEW WORLD	13
Passport Records	13
Polyvinyl	13
Profile	13
PUBLIC EYESORE	13
rhino	13
s/r	13
SAHEL SOUNDS	13
Stones Throw	13
sub pop	13
Swallow	13
Touch and Go Records	13
TRUNK	13
tzadik	13
Up Records	13
WB	13
Windham Hill	13
yep roc	13
Alias	12
AMBIANCES MAGNETIQUES	12
Analog Africa	12
BMI	12
Capricorn Records	12
Carrot Top	12
DE STIJL	12
Dead Oceans	12
DEAD OCEANS	12
INAM	12
IPECAC	12
k	12
K Records	12
KYE	12
Mercury Records	12
NO BUSINESS	12
Play It Again Sam	12
RAS Records	12
Relativity	12
Rykodisc	12
THIRSTY EAR	12
thrill jockey	12
TYPE	12
VAMPISOUL	12
100% SILK	11
4 AD	11
ABC Records	11
Amphetamine Reptile	11
Beggars Banquet	11
Capricorn	11
Caroline Records	11
Celluloid	11
COLUMBUS DISCOUNT	11
Decca	11
DIGITALIS	11
emi	11
EMI Records	11
Estrus	11
Fantasy Records	11
FAT CAT	11
FXHE	11
GONER	11
Habibi Funk	11
Hannibal	11
HOZAC	11
Jetset	11
LEX	11
Mammoth	11
MIE MUSIC	11
Minty Fresh	11
PAW TRACKS	11
PHARAWAY SOUNDS	11
Private Music	11
shanachie	11
Teen Beat	11
TEMPORARY RESIDENCE	11
WESTERN VINYL	11
Ajax	10
asylum	10
Atco	10
ATO Records	10
B MUSIC/FINDERS KEEPERS	10
bloodshot	10
BLUE NOTE	10
Caroline	10
CLERMONT MUSIC	10
domino	10
Emperor Norton	10
Fat Possum	10
Hot Releases	10
HUBRO	10
International Anthem	10
Jade Tree	10
Mexican Summer	10
NOT NOT FUN	10
pfMENTUM	10
Polygram Records	10
PRISON TATT	10
PVC	10
Ras	10
S/R	10
spinART	10
SST Records	10
TERP	10
TIGERBEAT6	10
united artists	10
United Artists	10
!K7	9
482 MUSIC	9
abc	9
AD 93	9
ALIEN8	9
AMISH	9
Asylum Records	9
ATP	9
Awesome Tapes From Africa	9
Bar/None	9
Blind Pig Records	9
BO'WEAVIL	9
CARPARK	9
Charisma	9
DARK ENTRIES	9
Delmark Records	9
drag city	9
Dunhill	9
Flydaddy	9
Grunt	9
Hightone	9
HOLY MOUNTAIN	9
Hyperdub	9
KARLRECORDS	9
london	9
Misra	9
Mississippi Records	9
NOBUSINESS	9
NorthSide	9
PolyGram Records	9
Priority Records	9
Rebel	9
restless	9
Restless Records	9
Songlines	9
SUPERIOR VIADUCT	9
THREE-LOBED	9
TOMLAB	9
Ubiquity	9
ugEXPLODE	9
Warner Bros Records	9
Warp Records	9
Wax Trax	9
ALTERNATIVE TENTACLES	8
AM	8
American Recordings	8
ARHOOLIE	8
AWESOME TAPES FROM AFRICA	8
BATHETIC	8
Bearsville	8
BIG DADA	8
Birdman	8
BLACK TRUFFLE	8
BLACKEST EVER BLACK	8
Bloodshot	8
BLOODSHOT	8
CANTALOUPE	8
CAPTURED TRACKS	8
Carpark	8
Chess Records	8
Copper Creek	8
CRYPTOGRAMOPHONE	8
DAPTONE	8
decca	8
DEEPER KNOWLEDGE	8
DELMARK	8
Feeding Tube Records	8
FINDERS KEEPERS	8
flying fish	8
HAPNA	8
HARDLY ART	8
harvest	8
Harvest	8
Hidden Agenda	8
IRON LUNG	8
Knitting Factory	8
LAST VISIBLE DOG	8
LEAF	8
LEAVING	8
London	8
mammoth	8
Manifesto	8
mgm	8
MUSH	8
MUTE	8
NEUROT	8
New Alliance Records	8
New West	8
New World Records	8
Nyege Nyege Tapes	8
Pablo	8
POGUS	8
POLYVINYL	8
PROFOUND LORE	8
RAS	8
RED TOUCAN	8
ROUGH TRADE	8
RSO	8
SHADOKS MUSIC	8
SILTBREEZE	8
Skin Graft	8
Southern Records	8
STONES THROW	8
Sub Pop Records	8
THE SOCIAL REGISTRY	8
Tresor	8
UNSOUNDS	8
Waterbug	8
Yazoo	8
Yep Roc Records	8
12K	7
32 Jazz	7
A & M	7
Alula Records	7
American	7
AYLER	7
Bar None Records	7
Bethlehem	7
C/Z Records	7
capricorn	7
Captured Tracks	7
Constellation	7
CORLEONE	7
CRAMMED DISCS	7
DARLA	7
DISCREPANT	7
Drunken Fish	7
Dutch East India Trading	7
Efficient Space	7
Elektra/Asylum Records	7
EMERALD COCOON	7
ESSAY	7
Flying Dutchman	7
FONAL	7
Gee Street	7
Impulse!	7
Ipecac	7
kill rock stars	7
liberty	7
Matador Records	7
MGM	7
mute	7
NARNACK	7
Nettwerk	7
New Albion	7
Nighthawk	7
No Quarter	7
NORTON	7
Olivia Records	7
On-U Sound	7
PACREC	7
Paradise of Bachelors	7
PAST & PRESENT	7
PICKLED EGG	7
Polygram	7
PolyGram	7
PSYCHIC CIRCLE	7
Rainbow Quartz	7
RCA Victor	7
relativity	7
RHYMESAYERS	7
rough trade	7
ROUNDER	7
RUSH HOUR	7
RVNG Intl.	7
Sacred Bones	7
Six Degrees	7
Smalltown Supersound	7
SMALLTOWN SUPERSOUND	7
Smells Like Records	7
Smithsonian Folkways Recordings	7
SONGLINES	7
Southern	7
Squealer	7
sst	7
Stereo	7
SUICIDE SQUEEZE	7
Takoma	7
Tiger Style	7
topic	7
Triple X Records	7
TROST	7
TVT Records	7
UTECH	7
V2	7
Verve Records	7
VIN DU SELECT QUALITITE	7
warner bros	7
Wax Trax!	7
Western Vinyl	7
ABC	6
AKUPHONE	6
Alias Records	6
Alien8	6
ALTER	6
Amish Records	6
Anti-	6
Antone's Records	6
Athens of the North	6
Avant	6
